ID,post_title,post_content,post_excerpt
79051,"TRATTO","Tratto is a contemporary design rug made from a blend of Himalayan wool, which is soft to the touch, and bamboo silk, which casts an iridescent effect. It is distinguished by geometric patterns and available in three vibrant colour combinations: rust on a dove grey base, charcoal on a dove grey base and dove grey on a charcoal base, in square and rectangular versions.","Tratto is a contemporary design rug made from a blend of Himalayan wool, which is soft to the touch, and bamboo silk, which casts an iridescent effect. It is distinguished by geometric patterns and available in three vibrant colour combinations: rust on a dove grey base, charcoal on a dove grey base and dove grey on a charcoal base, in square and rectangular versions."
79232,"SOORI","Inspired by Bali and its culture, and in particular, by the traditional vases used in the villages on the idyllic Indonesian island, Soori is a coffee table with an original and recognisable aesthetic charm, which stands out both in the living room and in the bedroom. It is available in three sizes in metal with an antiqued bronze finish and, for the smallest model, also in a glossy or matt lacquer finish.","Inspired by Bali and its culture, and in particular, by the traditional vases used in the villages on the idyllic Indonesian island, Soori is a coffee table with an original and recognisable aesthetic charm, which stands out both in the living room and in the bedroom. It is available in three sizes in metal with an antiqued bronze finish and, for the smallest model, also in a glossy or matt lacquer finish."
79289,"SAINT-GERMAIN","Saint-Germain is a sofa system featuring curved and sensual forms. Inspired by sensual shapes reminiscent of 1970s design, these sofas transform any space into a warm and familiar setting, infusing a cosy feeling of home comfort. Soft, enveloping lines recur in all the elements of the collection, which includes various modules with which to create linear, angular or unusually shaped compositions. The sofas are always characterised by an inviting appearance created through the interaction of shapes and depths. From the haute couture texture of bouclé fabrics to the contemporary elegance of leather, the upholstery enhances the Saint-Germain sofa volumes, projecting a transversal aesthetic appeal.","Saint-Germain is a sofa system featuring curved and sensual forms. Inspired by sensual shapes reminiscent of 1970s design, these sofas transform any space into a warm and familiar setting, infusing a cosy feeling of home comfort. Soft, enveloping lines recur in all the elements of the collection, which includes various modules with which to create linear, angular or unusually shaped compositions. The sofas are always characterised by an inviting appearance created through the interaction of shapes and depths. From the haute couture texture of bouclé fabrics to the contemporary elegance of leather, the upholstery enhances the Saint-Germain sofa volumes, projecting a transversal aesthetic appeal."
79086,"GENTLEMAN RESERVED","The Gentleman Reserved armchair is the most unusual out of the Gentleman collection. This is due to the high backrest with buttons reminiscent of a cigar lounge. What makes this model even more exclusive is the possibility of combining two different finishes for the interior and exterior upholstery. Gentleman Reserved can be completed with a pouffe, a useful and elegant accessory that enhances the armchair's comfort.","The Gentleman Reserved armchair is the most unusual out of the Gentleman collection. This is due to the high backrest with buttons reminiscent of a cigar lounge. What makes this model even more exclusive is the possibility of combining two different finishes for the interior and exterior upholstery. Gentleman Reserved can be completed with a pouffe, a useful and elegant accessory that enhances the armchair's comfort."
79250,"ILDA","Ilda coffee tables are veritable jewels because the supporting structure is cast in brass, polished in a gold or bronze finish, forged in an artistic foundry and perfected by hand. The tops are available in marble, amber onyx or lapis lazuli. It is a treasured project distinguished by its great visual impact, ideal for the living room or reinterpreted as a bedside table in the bedroom.","Ilda coffee tables are veritable jewels because the supporting structure is cast in brass, polished in a gold or bronze finish, forged in an artistic foundry and perfected by hand. The tops are available in marble, amber onyx or lapis lazuli. It is a treasured project distinguished by its great visual impact, ideal for the living room or reinterpreted as a bedside table in the bedroom."
79223,"DAMA","Dama is a coffee table characterised by minimal and distinctive styling. Warm and familiar in cedar or Canaletto walnut version, it acquires a monolithic and contemporary quality in the glossy or matt lacquered versions. Inspired by the utmost simplicity, it is also a practical table top with versatile utility for any part of the home.","Dama is a coffee table characterised by minimal and distinctive styling. Warm and familiar in cedar or Canaletto walnut version, it acquires a monolithic and contemporary quality in the glossy or matt lacquered versions. Inspired by the utmost simplicity, it is also a practical table top with versatile utility for any part of the home."
79262,"KOISHI","Koishi coffee tables are inspired by soft lines and organic shapes. The name itself – Koishi, which means 'pebble' in Japanese – alludes to a naturalness that is also expressed in the choice of natural materials such as marble, stone and wood. The metal structure is sculptural but minimal; wood, glass and marble are the materials available for the top.","Koishi coffee tables are inspired by soft lines and organic shapes. The name itself – Koishi, which means 'pebble' in Japanese – alludes to a naturalness that is also expressed in the choice of natural materials such as marble, stone and wood. The metal structure is sculptural but minimal; wood, glass and marble are the materials available for the top."
79220,"BABA","The Baba side table enhances the living room with style and elegance. Designed for compactness, its base can be hidden under the sofa to provide more space. The versatile and informal table features a painted or matt lacquered metal frame and a marble or glass top, available in all the colours of the matt or glossy lacquer range.","The Baba side table enhances the living room with style and elegance. Designed for compactness, its base can be hidden under the sofa to provide more space. The versatile and informal table features a painted or matt lacquered metal frame and a marble or glass top, available in all the colours of the matt or glossy lacquer range."
79244,"MONDRIAN","A collection with an elegant and light image, with thin tops made of wood, marble, or glossy and mat lacquered finishes. Available in two heights and different shapes to facilitate the combination of several elements, these tables are easy to include in the living area and perfect in combination with the sofa system of the same name.","A collection with an elegant and light image, with thin tops made of wood, marble, or glossy and mat lacquered finishes. Available in two heights and different shapes to facilitate the combination of several elements, these tables are easy to include in the living area and perfect in combination with the sofa system of the same name."
79217,"PARIS SEOUL","This coffee table is also part of the Paris Seoul collection. With metal structure and external leather covering, it stand next to sofas and armchairs to keep everything you need at your fingertips.","This coffee table is also part of the Paris Seoul collection. With metal structure and external leather covering, it stand next to sofas and armchairs to keep everything you need at your fingertips."
79313,"SANTA MONICA LOUNGE","The elegance of the Santa Monica collection is also reflected in the Lounge version of the armchair, with a high back and coordinated pouffe. Upholstered in fabric or leather, it is enriched by sartorial details such as the folded back with frog fastenings, the cord stitching and the grosgrain edging.","The elegance of the Santa Monica collection is also reflected in the Lounge version of the armchair, with a high back and coordinated pouffe. Upholstered in fabric or leather, it is enriched by sartorial details such as the folded back with frog fastenings, the cord stitching and the grosgrain edging."
79027,"ARTEX","Artex is the ultimate kitchen solution for the most exclusive settings. Large surfaces and streamlined volumes highlight the role of the prestige materials – enhanced by the elegant lines of the doors, available in smooth or slatted versions. The distinctive tapering on the opening, side and top creates a perfect interface between the elements, combining ease of opening with impeccable aesthetic appeal. Artex is one of Poliform's iconic models, featuring a contemporary spirit that is constantly renewed and enhanced by the finishes. Indeed, the smooth door version of this kitchen offers the greatest variety of finishes, including the most refined ones such as solid Canaletto walnut, solid swamp oak, DuPont Corian® glacier white, scotch brite steel and glass.","Artex è la cucina degli ambienti più esclusivi. Ampie superfici e volumi essenziali rendono protagonisti assoluti i materiali – esaltati dalla lavorazione sartoriale dell’anta, in versione liscia o a doghe. La particolare rastrematura eseguita su apertura, fianco e top crea un incastro perfetto tra gli elementi, unendo alla praticità di apertura un’estetica impeccabile. Tra i modelli storici di Poliform, Artex ha uno spirito contemporaneo che le finiture, costantemente rinnovate, valorizzano. È infatti la cucina che offre – nella versione con anta liscia – la maggiore varietà di finiture, incluse quelle più ricercate come il massello noce canaletto, il massello rovere di palude, il DuPont Corian® giacer white, l’acciaio scotch brite e il vetro."
79247,"WESTSIDE","A refined balance between materials and shapes characterizes the coffee tables of the Westside collection, which complete the homonymous system of sofas. There are three versions, available in different finishes: the coffee table with drawer or open compartment, the coffee table with crossed metal base, and the one to place next to the sofa.","A refined balance between materials and shapes characterizes the coffee tables of the Westside collection, which complete the homonymous system of sofas. There are three versions, available in different finishes: the coffee table with drawer or open compartment, the coffee table with crossed metal base, and the one to place next to the sofa."
79298,"GASTON","Linear and essential, the Gaston armchair evokes an exclusive style and confirms it in details such as the minimum thicknesses of the metal structure, the stitching and the cover of the slim, comfortable armrest. Available with leather or fabric upholstery, Gaston elegantly furnishes living and sleeping areas.","Linear and essential, the Gaston armchair evokes an exclusive style and confirms it in details such as the minimum thicknesses of the metal structure, the stitching and the cover of the slim, comfortable armrest. Available with leather or fabric upholstery, Gaston elegantly furnishes living and sleeping areas."
79334,"MAD CHAIR","The Mad collection has evolved from the Mad Chair, an armchair with harmonious, enveloping lines that is also perfect for the bedroom. The armchair can be upholstered with a choice of fabrics and leathers from the catalogue, with the possibility of combining two different finishes for the outer shell and inner seat. The latter is also available with a matelassé finish. Mad Chair is available with wooden legs or a swivel metal base.","The Mad collection has evolved from the Mad Chair, an armchair with harmonious, enveloping lines that is also perfect for the bedroom. The armchair can be upholstered with a choice of fabrics and leathers from the catalogue, with the possibility of combining two different finishes for the outer shell and inner seat. The latter is also available with a matelassé finish. Mad Chair is available with wooden legs or a swivel metal base."
79280,"MONDRIAN","A minimalistic design, a graphic and modern image with a strong architectural component. Mondrian is a system designed to offer maximum compositional freedom. The characteristic thin metal feet support a linear structure that seems suspended. Two seat depths available and armrests in four sizes, to be enriched with wooden backrest and shelves, or with the wooden coffee table. A complete project that interprets the contemporary living space with personality.","A collection with an elegant and light image, with thin tops made of wood, marble, or glossy and mat lacquered finishes. Available in two heights and different shapes to facilitate the combination of several elements, these tables are easy to include in the living area and perfect in combination with the sofa system of the same name."
79256,"CREEK","Creek is a collection of coffee tables of various sizes, united by a design characterized by two trays on top of each other resting on a metal structure. The colours and finishes of each tray can be combined as desired, choosing between lacquered colours, wood, marble, and glass for the upper tray; glossy and mat lacquered colours or wood for the lower tray.","Creek is a collection of coffee tables of various sizes, united by a design characterized by two trays on top of each other resting on a metal structure. The colours and finishes of each tray can be combined as desired, choosing between lacquered colours, wood, marble, and glass for the upper tray; glossy and mat lacquered colours or wood for the lower tray."
79292,"WALLACE","An item with a highly innovative design. Wallace is an armchair of great impact, with a metal base with irregular geometric shapes that supports the polyurethane structure covered in leather. The seat catches the eye with its particular shape, enveloping in a unique comfort who lies on it.","An item with a highly innovative design. Wallace is an armchair of great impact, with a metal base with irregular geometric shapes that supports the polyurethane structure covered in leather. The seat catches the eye with its particular shape, enveloping in a unique comfort who lies on it."
79241,"HOME HOTEL","The theme of the Home Hotel coffee tables is versatility. The two versions, rectangular and square, share a wooden top that acquires rhythm thanks to the particular play of strips. Together with the console tables and benches, the Home Hotel coffee tables create a true system, for the house and for accommodation facilities.","The theme of the Home Hotel coffee tables is versatility. The two versions, rectangular and square, share a wooden top that acquires rhythm thanks to the particular play of strips. Together with the console tables and benches, the Home Hotel coffee tables create a true system, for the house and for accommodation facilities."
79015,"TRAIL","Trail reinterprets the frame door with a contemporary approach. The characterising element here is the integrated handle over the entire of the door. An aesthetic detail of great visual impact, both when used in the base units and in the tall units, even in combination with the glass units.","Il modello Trail di Poliform è una rilettura in chiave contemporanea della classica anta a telaio. Elemento caratterizzante è la maniglia integrata su tutta la larghezza dell’anta. Un dettaglio estetico di grande impatto visivo, sia quando usato nelle basi sia nelle colonne, anche in combinazione con le vetrine."
79328,"MAD JOKER","In the extensive Mad collection, the elegant Mad Joker stands out for its high back, making it the perfect reading armchair. A complement to the most classic or contemporary living spaces, Mad Joker is characterised by its curved lines and the quality of its upholstery. It can also be customised by choosing two different finishes for the outer shell and inner seat. Mad Joker, which is available with wooden legs or a swivel base, can be matched with a pouffe.","In the extensive Mad collection, the elegant Mad Joker stands out for its high back, making it the perfect reading armchair. A complement to the most classic or contemporary living spaces, Mad Joker is characterised by its curved lines and the quality of its upholstery. It can also be customised by choosing two different finishes for the outer shell and inner seat.Mad Joker, which is available with wooden legs or a swivel base, can be matched with a pouffe."
79286,"WESTSIDE","Westside is a contemporary, multifunctional sofa system that elegantly rewrites the living area experience. The upholstered modules can be placed side by side to create the most diverse configurations – from the double-sided island to the classic corner sofa – while elements such as the ergonomic chaise longue, the mobile backrest and the small tables enrich its functionality. An archetype of conviviality, to be arranged and experienced with the utmost freedom.","Westside is a contemporary, multifunctional sofa system that elegantly rewrites the living area experience. The upholstered modules can be placed side by side to create the most diverse configurations – from the double-sided island to the classic corner sofa – while elements such as the ergonomic chaise longue, the mobile backrest and the small tables enrich its functionality. An archetype of conviviality, to be arranged and experienced with the utmost freedom."
79235,"BRISTOL","To complete the Bristol collection, consisting of sofa, book-case, and sideboard, there are also the centre coffee tables, characterized by two planes on top of each other. Metal supports intersect the upper top, becoming the signature style of the entire collection. The lower plane is available lacquered or in wood, the upper one also in marble.","To complete the Bristol collection, consisting of sofa, book-case, and sideboard, there are also the centre coffee tables, characterized by two planes on top of each other. Metal supports intersect the upper top, becoming the signature style of the entire collection. The lower plane is available lacquered or in wood, the upper one also in marble."
79325,"MAD QUEEN","Soft and reassuring, the Mad Queen armchair restates the concept of the extensive Mad series with even more comfortable volumes. It features curved lines and top-quality upholstery, which offers a choice between fabric or leather, also combining different finishes for the outer shell and inner seat. The latter is also available in the elegant Gibson matelassé version. The version with leather feet is even more special, expressing a precious and sophisticated variant for an impeccable collection, in all its variations.","Soft and reassuring, the Mad Queen armchair restates the concept of the extensive Mad series with even more comfortable volumes. It features curved lines and top-quality upholstery, which offers a choice between fabric or leather, also combining different finishes for the outer shell and inner seat. The latter is also available in the elegant Gibson matelassé version. The version with leather feet is even more special, expressing a precious and sophisticated variant for an impeccable collection, in all its variations."
79283,"BELLPORT","The Bellport sofa system features classic lines, elegant feet and an innovative seat depth. The various cushioned elements can be used to create linear or L-shaped compositions – achieving truly customised comfort. The armrests are available in high or low versions, with a broader seat cushion. The Bellport series also includes fixed sofas, daybeds, chaise longues, pouffes and centrepieces, all with metal feet – with or without a profile – and always featuring stretched upholstery on the frame.","The Bellport sofa system features classic lines, elegant feet and an innovative seat depth. The various cushioned elements can be used to create linear or L-shaped compositions – achieving truly customised comfort. The armrests are available in high or low versions, with a broader seat cushion. The Bellport series also includes fixed sofas, daybeds, chaise longues, pouffes and centrepieces, all with metal feet – with or without a profile – and always featuring stretched upholstery on the frame."
79238,"TRIBECA","A contemporary and international style characterizes the Tribeca sofa, in which the softness of the shapes, supported by a thin metal structure, is embellished by the particular armrest. A harmonious whole that transforms the Tribeca sofa, fixed or modular, into the protagonist of the day area.","A contemporary and international style characterizes the Tribeca sofa, in which the softnessof the shapes, supported by a thin metal structure, is embellished by the particular armrest. A harmonious whole that transforms the Tribeca sofa, fixed or modular, into the protagonist of the day area."
79322,"MAD KING","Mad King is an armchair with a deep seat and high back, also available in an asymmetrical version with an optional tray. The upholstery possibilities are endless, with fabrics and leathers that can also be combined by choosing two different finishes for the outer shell and inner seat. Elegant and enveloping, the Mad King armchair can be used alone or in pairs, in domestic settings and contract furnishing applications.","Mad King is an armchair with a deep seat and high back, also available in an asymmetrical version with an optional tray. The upholstery possibilities are endless, with fabrics and leathers that can also be combined by choosing two different finishes for the outer shell and inner seat. Elegant and enveloping, the Mad King armchair can be used alone or in pairs, in domestic settings and contract furnishing applications."
79340,"STANFORD LOUNGE","The Stanford Lounge armchair combines a swivel metal base with a high-backed seat, where the lines of the Stanford collection are rounded to become more welcoming. The special version with leather upholstery features a leather exterior and tone-on-tone leather interior.","The Stanford Lounge armchair combines a swivel metal base with a high-backed seat, where the lines of the Stanford collection are rounded to become more welcoming. The special version with leather upholstery features a leather exterior and tone-on-tone leather interior."
79268,"DUNE","Dune is a system of padded elements with a soft and full look. It is very versatile and allows you to create an infinite number of compositions – linear, corner, with chaise longue. Available in two depths – large and extra-large – Dune is the perfect union between formal simplicity and compositional freedom.","Dune is a system of padded elements with a soft and full look. It is very versatile and allows you to create an infinite number of compositions – linear, corner, with chaise longue. Available in two depths – large and extra-large – Dune is the perfect union between formal simplicity and compositional freedom."
79012,"ALEA PRO","A restyling of the iconic and consolidated Alea model, Alea Pro is characterized by the most marked expressiveness. The linear design of the original system has been reinterpreted in light of a redefinition of the details, in particular of the opening grooves, underlined by a profile that highlights the vertical and horizontal lines. The door design with a chamfered upper edge upper edge and handle profile matched to the profile is new, as is the detail of the spaced side panel, which gives a lighter look to the base units. The display doors for base units, wall units, and tall units create plays of transparency that give rhythm to the composition. The result is a kitchen system that combines a very high operational capacity with a contemporary look, to be customized with a very wide range of materials and finishes.","Restyling dello storico e consolidato modello Alea, Alea Pro si caratterizza per l’espressività più marcata. Il design lineare del sistema originario è stato reinterpretato alla luce di una ridefinizione dei dettagli, in particolare delle gole di apertura, sottolineate da una sagoma che evidenzia le linee verticali e orizzontali. Nuovo è il disegno dell’anta con bordo superiore rastremato e profilo maniglia abbinato alla sagoma, così come il particolare del fianco distanziato, che dà un aspetto più leggero alle basi. Le ante vetrina per basi, pensili e colonne creano giochi di trasparenze che danno ritmo alla composizione. Il risultato è un sistema cucina che unisce all’altissima capacità operativa un aspetto contemporaneo, da personalizzare con una vastissima gamma di materiali e finiture."
79319,"MAD CHAISE LONGUE","A sophisticated elegance characterises the Mad Chaise Longue, an asymmetrical armchair that stands out as part of the Mad series for its comfort and size. Careful and rigorous craftsmanship is revealed in details such as the leather-covered feet that match the outside of the shell. As with the other armchairs in the series, Mad Chaise Longue can be upholstered with materials on the inner seat and outer shell.","A sophisticated elegance characterises the Mad Chaise Longue, an asymmetrical armchair that stands out as part of the Mad series for its comfort and size. Careful and rigorous craftsmanship is revealed in details such as the leather-covered feet that match the outside of the shell. As with the other armchairs in the series, Mad Chaise Longue can be upholstered with materials on the inner seat and outer shell."
79277,"SYDNEY","A contamination of styles, a mix of trends, perfect symmetry between oblique and orthogonal lines, sharp and rounded corners: Sydney's design transforms a series of geometric volumes into a soft monocoque sofa. Sydney is distinguished by its slender feet and the L-shaped elements that make up the seat, which can be completed with freely arranged cushions of different sizes.","A contamination of styles, a mix of trends, perfect symmetry between oblique and orthogonal lines, sharp and rounded corners: Sydney's design transforms a series of geometric volumes into a soft monocoque sofa. Sydney is distinguished by its slender feet and the L-shaped elements that make up the seat, which can be completed with freely arranged cushions of different sizes."
79357,"SARA","Sara interprets the mirror as pure simplicity through the utmost cleanliness of the reflective surface. The mirror, which can be hung or placed on the floor with non-slip rubber pads, is surrounded by a thin frame that offers different styles depending on the finish chosen – metallic, lacquered or leather.","Sara interprets the mirror as pure simplicity through the utmost cleanliness of the reflective surface. The mirror, which can be hung or placed on the floor with non-slip rubber pads, is surrounded by a thin frame that offers different styles depending on the finish chosen – metallic, lacquered or leather."
79343,"STANFORD","Synthesis and lightness are the cornerstones of natural elegance in the Stanford armchair collection. Rigorous lines rise from the swivel metal base, which are smoothed out in the Stanford Lounge high-backed armchair. The upholstery is distinctive, with a leather exterior, a tone-on-tone leather interior, and a leather seat cushion.","Synthesis and lightness are the cornerstones of natural elegance in the Stanford armchair collection. Rigorous lines rise from the swivel metal base, which are smoothed out in the Stanford Lounge high-backed armchair. The upholstery is distinctive, with a leather exterior, a tone-on-tone leather interior, and a leather seat cushion."
79265,"SHANGAI","Shangai is a system of sofas with rigorous shapes, available in two versions of padding – the first more classic and the second, in feather, softer and more informal. The aluminium base, which looks like a thin line, is a detail with a contemporary touch.","Shangai is a system of sofas with rigorous shapes, available in two versions of padding – the first more classic and the second, in feather, softer and more informal. The aluminium base, which looks like a thin line, is a detail with a contemporary touch."
79024,"ALEA","Reduced thickness, groove opening, and maximum versatility in the choice of finishes: these are the characteristics that make the Alea door unique for compositional possibilities and customisation. A linear design made of flat surfaces and geometric volumes, capable of redefining the kitchen environment by combining a very high operational capability with a minimalistic style.","Spessore ridotto, apertura a gola e massima versatilità nella scelta delle finiture: sono le caratteristiche che rendono l’anta Alea unica per possibilità compositive e personalizzazione. Un design lineare fatto di superfici piane e volumi geometrici, capace di ridefinire l’ambiente cucina unendo all’altissima capacità operativa un’estetica minimale."
